epoch;r2;mse;phm
0;0.5886011894820526;2011.3553466796875;7179090985484288.0
1;0.6147674972242718;1883.426513671875;6439148651020288.0
2;0.6064169955836436;1924.2528076171875;3091012801003520.0
3;0.6212705801202029;1851.632568359375;6500546282258432.0
4;0.6247629143511225;1834.5584716796875;6336711533527040.0
5;0.621709651771799;1849.486083984375;7106921039396864.0
6;0.6145071581362453;1884.6995849609375;9872296936210432.0
7;0.6270751739055018;1823.2537841796875;4468678322028544.0
8;0.6242305385775204;1837.161376953125;4990325185576960.0
9;0.6287314450894115;1815.1558837890625;8800802453848064.0
10;0.5351995051416032;2272.43994140625;6802727296303104.0
11;0.6266065704664605;1825.544677734375;1.0777084410462208e+16
12;0.6263534513246654;1826.7821044921875;6627858776588288.0
13;0.6130979535300515;1891.589111328125;5635873265680384.0
14;0.6271386918792645;1822.943115234375;4207498944839680.0
15;0.6079566305018045;1916.725341796875;9031094305292288.0
16;0.6307837895257467;1805.1219482421875;9055676550610944.0
17;0.5802295785415938;2052.284912109375;4856190135697408.0
18;0.6279692879351133;1818.8822021484375;6791272618524672.0
19;0.6278325446835442;1819.551025390625;8982986376609792.0
20;0.6236543963948283;1839.97802734375;6069584968810496.0
21;0.6094588955747725;1909.3807373046875;4579570619514880.0
22;0.6362736537926843;1778.2816162109375;7850919970471936.0
23;0.6294484599975811;1811.6505126953125;1.3835402846666752e+16
24;0.6150799852246438;1881.8990478515625;1.2721635148693504e+16
25;0.633931786087762;1789.7310791015625;9531422561796096.0
26;0.6374898567400591;1772.335693359375;4548381103882240.0
27;0.4974308844761627;2457.093017578125;7523376637673472.0
28;0.6397272236253487;1761.39697265625;6478157691486208.0
29;0.6052555773193287;1929.9310302734375;3278473091088384.0
30;0.6395948751334124;1762.044189453125;7038284240781312.0
31;0.6331683977989617;1793.4635009765625;7470444923846656.0
32;0.6290175866704703;1813.757080078125;8559457504067584.0
33;0.6385135854090523;1767.3304443359375;5945808843177984.0
34;0.6394399830106278;1762.8011474609375;5177264174006272.0
35;0.6045477628872964;1933.3916015625;6151085194477568.0
36;0.6375273198413844;1772.1524658203125;7165421715193856.0
37;0.6398219799795701;1760.93359375;1.2432210187517952e+16
38;0.630593191511261;1806.053955078125;3547563529601024.0
39;0.6393687050310974;1763.14990234375;3471809164869632.0
40;0.6394935986052405;1762.5390625;9024298593288192.0
41;0.6325280702725451;1796.593994140625;1.0831138721366016e+16
42;0.6407752992404889;1756.2728271484375;6995897745408000.0
43;0.6378426933808181;1770.6104736328125;8491634601754624.0
44;0.6401449677872328;1759.3546142578125;8738121701130240.0
45;0.6355179201674511;1781.9764404296875;6458018052964352.0
46;0.6254342064174574;1831.2762451171875;1.1746603484315648e+16
47;0.6035078975827783;1938.4755859375;5758060253413376.0
48;0.6315052104211574;1801.5948486328125;8481301447311360.0
49;0.6221462081657649;1847.3515625;4435553386758144.0
