epoch;r2;mse;phm
0;-0.27489255346906605;3315.302490234375;6443841.0
1;-0.3399263688379446;3484.419677734375;6777372.5
2;-0.3743474206187478;3573.930419921875;6862163.0
3;-0.3951524948726699;3628.033203125;6949700.5
4;-0.4062771263185059;3656.962158203125;6985459.0
5;-0.4101387126931044;3667.00439453125;6958726.0
6;-0.41031762488362156;3667.469482421875;6902049.0
7;-0.40844807575091013;3662.60791015625;6828028.0
8;-0.4053574102829598;3654.570556640625;6744305.0
9;-0.40156491681194906;3644.70849609375;6656696.0
10;-0.3973912331257896;3633.85498046875;6568996.0
11;-0.3930791520229042;3622.6416015625;6484064.0
12;-0.3888319579375996;3611.596923828125;6404111.0
13;-0.38477969184572425;3601.05908203125;6330245.0
14;-0.38098481825577957;3591.19091796875;6262719.0
15;-0.37746542113749526;3582.0380859375;6201297.0
16;-0.3742179697905801;3573.59375;6145546.0
17;-0.37123241770281123;3565.830322265625;6094996.0
18;-0.36850408024770176;3558.7353515625;6049264.0
19;-0.3660507295229163;3552.355712890625;6008255.5
20;-0.3639292262234728;3546.837890625;5972360.5
21;-0.36222817114938843;3542.4150390625;5942321.0
22;-0.3609462320382424;3539.081298828125;5917390.0
23;-0.36016298113433476;3537.04443359375;5897694.0
24;-0.36106042032808117;3539.378173828125;5898770.0
25;-0.3583747365065295;3532.394287109375;5845930.5
26;-0.35538542589651545;3524.62060546875;5803005.0
27;-0.3537497121796276;3520.366943359375;5776919.0
28;-0.35213566665047247;3516.169677734375;5748643.5
29;-0.35043398829678374;3511.74462890625;5719520.0
30;-0.34873353925016715;3507.3232421875;5690465.0
31;-0.347374643054434;3503.7890625;5665117.5
32;-0.34676793510217374;3502.211181640625;5647439.0
33;-0.3464903435861084;3501.4892578125;5632196.5
34;-0.34538783637581405;3498.62255859375;5608352.5
35;-0.34440622699938706;3496.069580078125;5590059.5
36;-0.34376318852063736;3494.397705078125;5576256.0
37;-0.3422413169334615;3490.4404296875;5551443.5
38;-0.3400340363133785;3484.699951171875;5519696.5
39;-0.33792487902814283;3479.215087890625;5489584.5
40;-0.33636303836693493;3475.154052734375;5464961.0
41;-0.335589336104293;3473.1416015625;5447789.0
42;-0.33502429633246145;3471.672607421875;5432183.0
43;-0.33340271173993563;3467.45556640625;5406752.0
44;-0.33156476866459883;3462.67626953125;5383362.0
45;-0.3305829480060465;3460.123046875;5371831.5
46;-0.3304189690150239;3459.696533203125;5371863.0
47;-0.3298083621308119;3458.1083984375;5370640.5
48;-0.32693320251926794;3450.632080078125;5348979.0
49;-0.321498901487715;3436.500732421875;5300329.0
