epoch;r2;mse;phm
0;-0.12517974168341306;3703.958740234375;6738643.0
1;-0.14946379109348373;3783.8994140625;6775354.5
2;-0.1561033858676235;3805.755615234375;6728984.0
3;-0.15994825399559454;3818.412841796875;6678939.0
4;-0.16240655931159953;3826.504638671875;6633019.0
5;-0.1638099605170944;3831.124755859375;6587205.5
6;-0.1644323859900434;3833.173828125;6543181.0
7;-0.16442255076899692;3833.141357421875;6509863.0
8;-0.163466756203978;3829.995361328125;6474485.0
9;-0.16233908591493673;3826.283203125;6409345.0
10;-0.16142598492544669;3823.277099609375;6355909.0
11;-0.1603583524646861;3819.7626953125;6313075.0
12;-0.15924396644146221;3816.093994140625;6276502.0
13;-0.1581239351499768;3812.4072265625;6246423.0
14;-0.1569830599429365;3808.651611328125;6220367.0
15;-0.15606977214683804;3805.64501953125;6190730.0
16;-0.15629932242146172;3806.400390625;6171088.0
17;-0.15970716650190253;3817.61865234375;6190105.0
18;-0.16341372033761803;3829.820556640625;6189744.5
19;-0.1574875118286121;3810.312255859375;6114144.5
20;-0.15377022154524078;3798.07568359375;6091987.5
21;-0.1508728003828439;3788.53759765625;6051648.0
22;-0.1488197432064846;3781.779052734375;6019920.0
23;-0.14716537291303222;3776.332763671875;6000473.0
24;-0.1463067843193595;3773.5068359375;5984225.5
25;-0.14745776978415703;3777.295654296875;5991701.5
26;-0.15211834366995358;3792.637451171875;6039794.5
27;-0.15062970866529768;3787.73681640625;6014932.0
28;-0.14523985518134053;3769.994384765625;5953280.0
29;-0.14318831950831767;3763.24072265625;5940933.5
30;-0.14207549765652994;3759.577392578125;5942668.5
31;-0.14020226633811173;3753.410888671875;5908942.0
32;-0.13995904511595691;3752.6103515625;5874258.0
33;-0.13824540890396686;3746.9697265625;5840789.0
34;-0.13687196841868676;3742.448486328125;5822597.0
35;-0.13617474619534797;3740.153076171875;5835748.0
36;-0.1355241954232318;3738.011962890625;5865929.0
37;-0.1390515990453418;3749.623046875;5886828.0
38;-0.14154089486738797;3757.81787109375;5873446.0
39;-0.1342413831363698;3733.788330078125;5794161.0
40;-0.13258413539698188;3728.33349609375;5791164.5
41;-0.1352636482423748;3737.154052734375;5851646.5
42;-0.13836053780789892;3747.348388671875;5881145.0
43;-0.13265074555671785;3728.55224609375;5818628.0
44;-0.12827667923887054;3714.1533203125;5772027.0
45;-0.12862098699139124;3715.286865234375;5785860.5
46;-0.13888195272084203;3749.06494140625;5883179.5
47;-0.14355418757940175;3764.4453125;5943236.0
48;-0.12710270245099764;3710.289306640625;5741885.5
49;-0.1285096537549948;3714.920654296875;5730023.5
